"나이","학력수준","소득","당좌예금","저축예금","뮤추얼펀드","주식","총금융자산","보유자동차의가격","주택담보대출액","기타금융자산","총부채","총순자산"
69,6,12334.92823,1000,0,0,0,1000,16020,31000,0,20900,77120
44,12,53451.355662,1000,1050,0,0,57550,13000,136000,0,60200,200350
59,12,38032.695375,990,1200,0,0,9190,19700,27000,8000,139900,46990
22,14,15418.660287,250,0,0,0,4750,6300,0,0,13400,-2350
40,16,925119.61722,22000,0,275000,175000,1189000,47000,425000,20000,340000,2031000
68,14,44200.15949,22000,50000,0,0,226800,12000,1e+05,0,0,338800
52,16,81204.944179,0,0,0,0,36000,31100,102000,0,93500,301100
39,16,47283.891547,4000,3000,25000,0,92000,17700,0,0,8800,100900
43,16,144935.4067,7700,15300,17000,17000,274000,26500,106000,5000,180600,404900
28,13,75037.480064,3200,50,0,500,32450,23000,178000,0,40000,225450
40,12,123349.2823,1000,6000,50000,20000,137000,40000,185000,0,162900,444100
77,12,12334.92823,1700,12390,43000,0,158090,14300,37000,2500,0,223890
78,16,34948.963317,2000,100,0,0,172600,6100,65000,0,0,243700
58,8,12334.92823,1500,1200,0,0,2700,0,21000,0,108000,23700
37,14,14390.749601,660,0,0,0,660,0,0,0,0,660
78,12,11307.017544,2200,0,0,0,2960,1900,33000,0,940,42920
56,14,37004.784689,1000,0,0,0,30000,7100,170000,0,11030,196070
28,12,28781.499203,270,300,0,0,570,2700,0,0,1200,2070
83,12,14390.749601,600,20000,0,0,49600,3400,0,0,20,52980
48,16,41116.427432,2000,5000,0,0,37000,5000,115000,0,21200,155800
24,9,8223.2854864,0,0,0,0,0,0,0,0,0,0
57,13,113070.17544,0,3500,0,2000,329500,81800,91000,0,59000,509300
29,16,37004.784689,400,100,0,0,9200,2300,12000,0,62000,19500
36,17,63730.46252,2000,0,40000,20000,82800,31400,1e+05,0,115000,199200
24,11,24669.856459,0,0,0,0,2000,3800,0,0,0,5800
79,16,25697.767145,7500,0,28000,190000,317500,5600,217000,0,0,540100
40,17,12334.92823,300,0,0,0,300,3800,0,0,0,4100
51,16,81204.944179,5000,0,50000,30000,1325001,15000,570000,25000,188000,2087001
49,12,8223.2854864,14600,500,0,0,42400,30000,90000,0,72550,164850
44,14,177828.54864,0,0,50000,85000,379000,31000,389000,0,254400,794600
25,15,40088.516746,160,0,0,0,7160,14000,0,0,13480,7680
55,17,87372.408293,1500,96000,27000,0,151530,22800,125000,0,0,299330
48,6,35976.874003,2850,0,0,0,6650,11800,15000,0,55990,32460
40,14,46255.980861,4000,0,0,0,6000,2100,23000,0,52500,30600
68,12,27753.588517,3300,8000,32000,116000,351300,12500,2e+05,0,0,563800
45,12,56535.087719,500,505,0,0,61005,0,38000,0,93040,90965
25,14,4625.5980861,0,0,0,0,0,0,0,0,0,0
50,17,50367.623604,1800,1850,0,0,49650,7400,62000,0,18000,114050
67,14,66814.194577,200,0,0,0,31700,6800,0,0,300,38200
30,14,52423.444976,2000,0,0,0,3300,5000,2000,0,79800,3500
28,12,37004.784689,0,0,0,0,0,13200,0,0,20000,-6800
